course_id,title,category,difficulty,price_type,instructor_id,total_lessons,total_duration,launched_at,rating_avg
CRS-001,Python 기초: 프로그래밍 첫걸음,programming,beginner,free,INS-01,15,420,2024-03-15,4.6
CRS-002,SQL 입문: 데이터 조회의 기술,programming,beginner,free,INS-02,12,300,2024-04-01,4.5
CRS-003,Git & GitHub 협업 워크플로우,programming,beginner,premium,INS-01,8,200,2024-05-20,4.3
CRS-004,파이썬 중급: 실무 코딩 패턴,programming,intermediate,premium,INS-01,18,540,2024-06-10,4.4
CRS-005,웹 개발 기초: HTML/CSS/JS,programming,intermediate,premium,INS-03,20,600,2024-07-01,4.2
CRS-006,데이터 분석 입문: 엑셀에서 파이썬으로,data,beginner,free,INS-02,10,280,2024-04-15,4.7
CRS-007,통계 기초: 비전공자를 위한 핵심 개념,data,intermediate,premium,INS-04,14,400,2024-06-01,4.1
CRS-008,데이터 시각화: 차트로 말하기,data,intermediate,premium,INS-02,12,360,2024-07-15,4.5
CRS-009,고급 분석 방법론: A/B 테스트와 코호트,data,advanced,premium,INS-04,16,480,2024-09-01,4.3
CRS-010,PM 입문: 제품을 만드는 사람들,business,beginner,free,INS-05,8,200,2024-05-01,4.8
CRS-011,그로스 해킹: 데이터 기반 성장 전략,business,intermediate,premium,INS-05,10,300,2024-08-01,4.4
CRS-012,비즈니스 전략 프레임워크,business,intermediate,premium,INS-06,5,150,2024-09-15,4.2
CRS-013,마케팅 분석: 퍼포먼스에서 브랜딩까지,business,advanced,premium,INS-05,12,360,2024-10-01,4.0
CRS-014,UX/UI 기초: 사용자 중심 디자인,design,beginner,free,INS-07,10,300,2024-06-15,4.6
CRS-015,피그마 마스터: 실무 디자인 툴,design,intermediate,premium,INS-07,15,450,2024-08-15,4.5
CRS-016,디자인 시스템 구축하기,design,advanced,premium,INS-07,6,180,2024-11-01,4.1
CRS-017,ChatGPT 200% 활용법,ai,beginner,free,INS-08,8,200,2024-05-15,4.9
CRS-018,AI 기초 이론: 머신러닝 첫걸음,ai,intermediate,premium,INS-08,14,420,2024-07-01,4.3
CRS-019,프롬프트 엔지니어링 실전,ai,intermediate,premium,INS-08,10,300,2024-09-01,4.6
CRS-020,AI 프로젝트 실전: 기획부터 배포까지,ai,advanced,premium,INS-06,16,480,2024-11-15,4.2
